Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
33.0,Nusa Tenggara Timur,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,33.0,3604,0
34.0,Gorontalo,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,34.0,3605,0
35.0,Indonesia,2020/03/02 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,35.0,3606,0
36.0,Aceh,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,36.0,3607,0
37.0,Bali,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,37.0,3608,0
38.0,Banten,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,38.0,3609,0
39.0,Kepulauan Bangka Belitung,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,39.0,3610,0
40.0,Bengkulu,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,40.0,3611,0
41.0,Daerah Istimewa Yogyakarta,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,41.0,3612,0
42.0,DKI Jakarta,2020/03/03 00:00:00+00,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00000,0.00000,42.0,3613,0
43.0,Jambi,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,43.0,3614,0
44.0,Jawa Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,44.0,3615,0
45.0,Jawa Tengah,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,45.0,3616,0
46.0,Jawa Timur,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,46.0,3617,0
47.0,Kalimantan Barat,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,47.0,3618,0
48.0,Kalimantan Timur,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,48.0,3619,0
49.0,Kalimantan Tengah,2020/03/03 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,49.0,3620,0
